Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
PIH,"1347 Property Insurance Holdings, Inc.",7.65,$45.57M,2014,Finance,Property-Casualty Insurers,NASDAQ
TURN,180 Degree Capital Corp.,1.58,$49.17M,n/a,Finance,Finance/Investors Services,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",10.1,$659.88M,1999,Consumer Services,Other Specialty Stores,NASDAQ
FCCY,1st Constitution Bancorp (NJ),17.95,$144.09M,n/a,Finance,Savings Institutions,NASDAQ
SRCE,1st Source Corporation,45.58,$1.18B,n/a,Finance,Major Banks,NASDAQ
VNET,"21Vianet Group, Inc.",5.45,$616.4M,2011,Technology,"Computer Software: Programming, Data Processing",NASDAQ
TWOU,"2U, Inc.",44.83,$2.13B,2014,Technology,Computer Software: Prepackaged Software,NASDAQ
JOBS,"51job, Inc.",44.165,$2.7B,2004,Technology,Diversified Commercial Services,NASDAQ
CAFD,8point3 Energy Partners LP,13.42,$1.06B,2015,Public Utilities,Electric Utilities: Central,NASDAQ
EGHT,8x8 Inc,14.3,$1.31B,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
AVHI,"A V Homes, Inc.",16.2,$363.56M,n/a,Capital Goods,Homebuilding,NASDAQ
SHLM,"A. Schulman, Inc.",29.425,$867.66M,1972,Basic Industries,Major Chemicals,NASDAQ
AAON,"AAON, Inc.",36.95,$1.94B,n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
ABAX,"ABAXIS, Inc.",50.445,$1.14B,1992,Capital Goods,Industrial Machinery/Components,NASDAQ
ABEO,Abeona Therapeutics Inc.,5.25,$211.34M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ABEOW,Abeona Therapeutics Inc.,2.804,n/a,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ABIL,Ability Inc.,0.59,$15.2M,2014,Finance,Business Services,NASDAQ
ABMD,"ABIOMED, Inc.",141.78,$6.21B,n/a,Health Care,Medical/Dental Instruments,NASDAQ
AXAS,Abraxas Petroleum Corporation,1.85,$303.12M,n/a,Energy,Oil & Gas Production,NASDAQ
ACIU,AC Immune SA,9.46,$538.48M,2016,Health Care,Major Pharmaceuticals,NASDAQ
ACIA,"Acacia Communications, Inc.",46.01,$1.78B,2016,Technology,Semiconductors,NASDAQ
ACTG,Acacia Research Corporation,3.95,$199.82M,n/a,Miscellaneous,Multi-Sector Companies,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",43.51,$3.82B,n/a,Health Care,Medical Specialities,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,26.505,$3.23B,1985,Health Care,Major Pharmaceuticals,NASDAQ
ACST,"Acasti Pharma, Inc.",1.25,$18.39M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",28.35,$1.55B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,NASDAQ
XLRN,Acceleron Pharma Inc.,28.39,$1.1B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ANCX,Access National Corporation,28.53,$579.34M,n/a,Finance,Savings Institutions,NASDAQ
ARAY,Accuray Incorporated,4.25,$352.75M,2007,Health Care,Medical/Dental Instruments,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.5,$113.45M,2011,Health Care,Major Pharmaceuticals,NASDAQ
ACET,Aceto Corporation,14.57,$438.57M,n/a,Health Care,Other Pharmaceuticals,NASDAQ
AKAO,"Achaogen, Inc.",22.2,$915.99M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",4.805,$656.96M,2006,Health Care,Major Pharmaceuticals,NASDAQ
ACIW,"ACI Worldwide, Inc.",23.19,$2.74B,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",23.35,$624.23M,2015,Health Care,Major Pharmaceuticals,NASDAQ
ACNB,ACNB Corporation,28.6,$173.52M,n/a,Finance,Major Banks,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",15.35,$716.22M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
SQZZ,Active Alts Contrarian ETF,24.33,n/a,n/a,n/a,n/a,NASDAQ
ATVI,"Activision Blizzard, Inc",59.785,$45.06B,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
ACTA,Actua Corporation,14.45,$485.45M,n/a,Technology,EDP Services,NASDAQ
ACXM,Acxiom Corporation,26.45,$2.08B,n/a,Technology,EDP Services,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",17.08,$381.9M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,4.5,$124.03M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ADAP,Adaptimmune Therapeutics plc,5.18,$484.31M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADUS,Addus HomeCare Corporation,37.65,$436.87M,2009,Health Care,Medical/Nursing Services,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.67,$17.02M,n/a,Consumer Services,Office Equipment/Supplies/Services,NASDAQ
IOTS,Adesto Technologies Corporation,4.95,$78.4M,2015,Technology,Semiconductors,NASDAQ
ADMA,ADMA Biologics Inc,3.69,$47.55M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADBE,Adobe Systems Incorporated,143.54,$71.01B,1986,Technology,Computer Software: Prepackaged Software,NASDAQ
ADTN,"ADTRAN, Inc.",20.525,$991.85M,1994,Public Utilities,Telecommunications Equipment,NASDAQ
ADRO,"Aduro Biotech, Inc.",10.35,$723.6M,2015,Health Care,Major Pharmaceuticals,NASDAQ
AAAP,Advanced Accelerator Applications S.A.,35.68,$1.57B,2015,Health Care,Major Pharmaceuticals,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",9.55,$212.91M,n/a,Basic Industries,Major Chemicals,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",79.53,$3.16B,1995,Capital Goods,Industrial Machinery/Components,NASDAQ
AMD,"Advanced Micro Devices, Inc.",11.24,$10.62B,n/a,Technology,Semiconductors,NASDAQ
ADXS,"Advaxis, Inc.",8,$322.36M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ADXSW,"Advaxis, Inc.",4.1625,n/a,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",2.65,$113.6M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,24.4612,$1.22M,n/a,n/a,n/a,NASDAQ
AEGN,Aegion Corp,20.01,$670.16M,n/a,Basic Industries,Water Supply,NASDAQ
AGLE,"Aeglea BioTherapeutics, Inc.",4.26,$57.31M,2016,Health Care,Major Pharmaceuticals,NASDAQ
AEHR,Aehr Test Systems,4.34,$92.05M,1997,Capital Goods,Electrical Products,NASDAQ
AMTX,"Aemetis, Inc",1.6,$31.51M,n/a,Basic Industries,Major Chemicals,NASDAQ
AERI,"Aerie Pharmaceuticals, Inc.",54.7,$1.97B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AVAV,"AeroVironment, Inc.",31.95,$749.4M,2007,Capital Goods,Aerospace,NASDAQ
AEZS,AEterna Zentaris Inc.,1.06,$15.19M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AEMD,"Aethlon Medical, Inc.",1.76,$15.48M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
GNMX,"Aevi Genomic Medicine, Inc.",1.2,$44.53M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AFMD,Affimed N.V.,2.175,$95.57M,2014,Health Care,Major Pharmaceuticals,NASDAQ
AGEN,Agenus Inc.,3.405,$337.5M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AGRX,"Agile Therapeutics, Inc.",3.8,$109.46M,2014,Health Care,Major Pharmaceuticals,NASDAQ
AGYS,"Agilysys, Inc.",9.9,$229.96M,n/a,Technology,EDP Services,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.",48.76,$2.35B,2013,Health Care,Major Pharmaceuticals,NASDAQ
AGNC,AGNC Investment Corp.,20.84,$6.9B,2008,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCB,AGNC Investment Corp.,26.4065,$9.15B,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCP,AGNC Investment Corp.,25.95,n/a,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGFS,"AgroFresh Solutions, Inc.",7.41,$372.58M,2014,Finance,Business Services,NASDAQ
AGFSW,"AgroFresh Solutions, Inc.",0.95,n/a,2014,Finance,Business Services,NASDAQ
AIMT,"Aimmune Therapeutics, Inc.",17.74,$893.08M,2015,Health Care,Major Pharmaceuticals,NASDAQ
AIRT,"Air T, Inc.",19.39,$39.61M,n/a,Transportation,Air Freight/Delivery Services,NASDAQ
ATSG,"Air Transport Services Group, Inc",23.6,$1.4B,n/a,Transportation,Air Freight/Delivery Services,NASDAQ
AIRG,"Airgain, Inc.",14.52,$138.23M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
AMCN,AirMedia Group Inc,1.685,$104.8M,2007,Technology,Advertising,NASDAQ
AKAM,"Akamai Technologies, Inc.",48.91,$8.46B,1999,Miscellaneous,Business Services,NASDAQ
AKTX,Akari Therapeutics Plc,6.1,$71.84M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",13.21,$513.38M,2014,Health Care,Major Pharmaceuticals,NASDAQ
AKER,Akers Biosciences Inc,1.35,$12.01M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
AKRX,"Akorn, Inc.",33.2,$4.14B,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AKTS,"Akoustis Technologies, Inc.",9.37,$178.73M,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",35.15,$1.63B,2015,Technology,Computer Software: Prepackaged Software,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",2.28,$119.34M,1999,Public Utilities,Telecommunications Equipment,NASDAQ
AMRI,"Albany Molecular Research, Inc.",19.79,$849.62M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ALBO,"Albireo Pharma, Inc.",20.39,$179.89M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ABDC,Alcentra Capital Corp.,13.21,$177.5M,n/a,n/a,n/a,NASDAQ
ADHD,Alcobra Ltd.,1.14,$31.42M,2013,Health Care,Major Pharmaceuticals,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",16.6,$836.81M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",5.2,$78.69M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",101.63,$22.82B,1996,Health Care,Major Pharmaceuticals,NASDAQ
ALCO,"Alico, Inc.",30.35,$251.59M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
ALGN,"Align Technology, Inc.",148.82,$11.95B,2001,Health Care,Industrial Specialties,NASDAQ
ALIM,"Alimera Sciences, Inc.",1.4,$90.86M,2010,Health Care,Major Pharmaceuticals,NASDAQ
ALJJ,"ALJ Regional Holdings, Inc.",3.37,$121.46M,n/a,Miscellaneous,Business Services,NASDAQ
ALKS,Alkermes plc,58,$8.89B,1991,Health Care,Major Pharmaceuticals,NASDAQ
ABTX,"Allegiance Bancshares, Inc.",38.5,$504.31M,2015,Finance,Major Banks,NASDAQ
ALGT,Allegiant Travel Company,139.2,$2.32B,2006,Transportation,Air Freight/Delivery Services,NASDAQ
AIQ,"Alliance HealthCare Services, Inc.",13.25,$143.51M,2001,Health Care,Medical Specialities,NASDAQ
AHGP,"Alliance Holdings GP, L.P.",27.4392,$1.64B,2006,Energy,Coal Mining,NASDAQ
AMMA,"Alliance MMA, Inc.",1.2,$11.29M,2016,Consumer Services,Services-Misc. Amusement & Recreation,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",21.4,$1.6B,1999,Energy,Coal Mining,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",2,$8.03M,1992,Health Care,Industrial Specialties,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",27.02,$255.92M,n/a,Capital Goods,Electrical Products,NASDAQ
ALQA,"Alliqua BioMedical, Inc.",0.3589,$16.5M,n/a,Health Care,Medical/Dental Instruments,NASDAQ
ALLT,Allot Communications Ltd.,4.995,$165.41M,2006,Technology,Computer Communications Equipment,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",12.045,$2.19B,n/a,Technology,EDP Services,NASDAQ
AFAM,Almost Family Inc,58.8,$819.64M,n/a,Health Care,Medical/Nursing Services,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",69.89,$6.02B,2004,Health Care,Major Pharmaceuticals,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,19.1,$454.4M,2010,Technology,Semiconductors,NASDAQ
GOOG,Alphabet Inc.,983.17,$680.11B,2004,Technology,"Computer Software: Programming, Data Processing",NASDAQ
GOOGL,Alphabet Inc.,1003.6,$694.24B,n/a,Technology,"Computer Software: Programming, Data Processing",NASDAQ
SMCP,AlphaMark Actively Managed Small Cap ETF,24.351,$26.79M,n/a,n/a,n/a,NASDAQ
ATEC,"Alphatec Holdings, Inc.",1.99,$21.61M,2006,Health Care,Medical/Dental Instruments,NASDAQ
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,27.492,$6.87M,n/a,n/a,n/a,NASDAQ
ALT,"Altimmune, Inc.",4.15,$2.86M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,21.34,$393.35M,n/a,Consumer Services,Other Consumer Services,NASDAQ
AIMC,Altra Industrial Motion Corp.,42.6,$1.25B,2006,Capital Goods,Industrial Machinery/Components,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",17.1,$599.28M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AMRN,Amarin Corporation plc,3.02,$822.32M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",15.31,$107.65M,n/a,Basic Industries,Other Specialty Stores,NASDAQ
AYA,Amaya Inc.,17.75,$2.6B,n/a,Technology,"Computer Software: Programming, Data Processing",NASDAQ
AMZN,"Amazon.com, Inc.",1011.22,$483.34B,1997,Consumer Services,Catalog/Specialty Distribution,NASDAQ
AMBC,"Ambac Financial Group, Inc.",16.39,$741.3M,n/a,Finance,Property-Casualty Insurers,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",7.7,n/a,n/a,Finance,Property-Casualty Insurers,NASDAQ
AMBA,"Ambarella, Inc.",58.95,$1.98B,2012,Technology,Semiconductors,NASDAQ
AMCX,AMC Networks Inc.,53.11,$3.54B,n/a,Consumer Services,Television Services,NASDAQ
DOX,Amdocs Limited,65.74,$9.63B,n/a,Technology,EDP Services,NASDAQ
AMDA,Amedica Corporation,0.287,$10.41M,2014,Health Care,Medical/Dental Instruments,NASDAQ
AMED,Amedisys Inc,59.93,$2.02B,n/a,Health Care,Medical/Nursing Services,NASDAQ
UHAL,Amerco,354.51,$6.95B,n/a,Consumer Services,Rental/Leasing Companies,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",5.85,$352.48M,n/a,Finance,Finance: Consumer Services,NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",16.29,$53.59B,n/a,Public Utilities,Telecommunications Equipment,NASDAQ
AAL,"American Airlines Group, Inc.",49.74,$24.5B,n/a,Transportation,Air Freight/Delivery Services,NASDAQ
ACSF,"American Capital Senior Floating, Ltd.",12.975,$129.75M,2014,n/a,n/a,NASDAQ
AETI,"American Electric Technologies, Inc.",1.534,$13.02M,n/a,Energy,Industrial Machinery/Components,NASDAQ
AMNB,"American National Bankshares, Inc.",35.85,$309.7M,n/a,Finance,Major Banks,NASDAQ
ANAT,American National Insurance Company,117.96,$3.18B,n/a,Finance,Life Insurance,NASDAQ
AOBC,American Outdoor Brands Corporation,23.695,$1.36B,n/a,Capital Goods,Ordnance And Accessories,NASDAQ
APEI,"American Public Education, Inc.",22.85,$370.95M,2007,Consumer Services,Other Consumer Services,NASDAQ
ARII,"American Railcar Industries, Inc.",35.35,$674.62M,2006,Capital Goods,Railroads,NASDAQ
AMRB,American River Bankshares,13.63,$88.36M,n/a,Finance,Major Banks,NASDAQ
AMSWA,"American Software, Inc.",10.88,$320.64M,n/a,Technology,Computer Software: Prepackaged Software,NASDAQ
AMSC,American Superconductor Corporation,4.2,$80.6M,1991,Consumer Durables,Metal Fabrications,NASDAQ
AMWD,American Woodmark Corporation,95.25,$1.55B,1986,Basic Industries,Forest Products,NASDAQ
CRMT,"America&#39;s Car-Mart, Inc.",38.2,$290.64M,n/a,Consumer Durables,Automotive Aftermarket,NASDAQ
ABCB,Ameris Bancorp,44,$1.63B,1994,Finance,Major Banks,NASDAQ
AMSF,"AMERISAFE, Inc.",53.25,$1.02B,2005,Finance,Property-Casualty Insurers,NASDAQ
ASRV,AmeriServ Financial Inc.,4.15,$77.48M,n/a,Finance,Major Banks,NASDAQ
ASRVP,AmeriServ Financial Inc.,28.5,n/a,n/a,Finance,Major Banks,NASDAQ
ATLO,Ames National Corporation,30.25,$281.66M,n/a,Finance,Major Banks,NASDAQ
AMGN,Amgen Inc.,160.19,$117.8B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FOLD,"Amicus Therapeutics, Inc.",8.4,$1.2B,2007,Health Care,Major Pharmaceuticals,NASDAQ
AMKR,"Amkor Technology, Inc.",11.55,$2.76B,1998,Technology,Semiconductors,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",17.06,$780.29M,2014,Health Care,Major Pharmaceuticals,NASDAQ
IBUY,Amplify Online Retail ETF,33.79,n/a,n/a,n/a,n/a,NASDAQ
ASYS,"Amtech Systems, Inc.",8.13,$107.32M,n/a,Technology,Industrial Machinery/Components,NASDAQ
AFSI,"AmTrust Financial Services, Inc.",13.05,$2.23B,n/a,Finance,Property-Casualty Insurers,NASDAQ
AMRS,"Amyris, Inc.",0.22,$4.38M,2010,Basic Industries,Major Chemicals,NASDAQ
ADI,"Analog Devices, Inc.",78.77,$28.91B,n/a,Technology,Semiconductors,NASDAQ
ALOG,Analogic Corporation,75.05,$937.31M,1972,Capital Goods,Electrical Products,NASDAQ
ANAB,"AnaptysBio, Inc.",22.425,$454.54M,2017,Health Care,Major Pharmaceuticals,NASDAQ
AVXL,Anavex Life Sciences Corp.,6.25,$258.6M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ANCB,Anchor Bancorp,25,$62.62M,2011,Finance,Banks,NASDAQ
ANDA,Andina Acquisition Corp. II,10.12,$53.74M,2015,Finance,Business Services,NASDAQ
ANDAR,Andina Acquisition Corp. II,0.45,n/a,2015,Finance,Business Services,NASDAQ
ANDAU,Andina Acquisition Corp. II,10.82,n/a,2015,Finance,Business Services,NASDAQ
ANDAW,Andina Acquisition Corp. II,0.2635,n/a,2015,Finance,Business Services,NASDAQ
ANGI,"Angie&#39;s List, Inc.",12.01,$719M,2011,Consumer Services,Advertising,NASDAQ
ANGO,"AngioDynamics, Inc.",15.27,$561.76M,2004,Health Care,Medical/Dental Instruments,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc.",44.09,$513.58M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ANIK,Anika Therapeutics Inc.,46.61,$683.05M,n/a,Health Care,Medical/Dental Instruments,NASDAQ
ANSS,"ANSYS, Inc.",129.54,$11.08B,1996,Technology,Computer Software: Prepackaged Software,NASDAQ
ATRS,"Antares Pharma, Inc.",2.68,$417.88M,n/a,Health Care,Medical/Dental Instruments,NASDAQ
ANTH,"Anthera Pharmaceuticals, Inc.",1.6,$2.01M,2010,Health Care,Major Pharmaceuticals,NASDAQ
ABAC,"Aoxin Tianli Group, Inc.",2.03,$16.21M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
APOG,"Apogee Enterprises, Inc.",55.95,$1.61B,n/a,Capital Goods,Auto Parts:O.E.M.,NASDAQ
APEN,"Apollo Endosurgery, Inc.",6.58,$70.4M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AINV,Apollo Investment Corporation,6.375,$1.4B,2004,n/a,n/a,NASDAQ
APPF,"AppFolio, Inc.",32.05,$1.09B,2015,Technology,Computer Software: Prepackaged Software,NASDAQ
APPN,Appian Corporation,19.57,$1.15B,2017,Technology,Computer Software: Prepackaged Software,NASDAQ
AAPL,Apple Inc.,153.87,$802.25B,1980,Technology,Computer Manufacturing,NASDAQ
ARCI,"Appliance Recycling Centers of America, Inc.",0.7,$4.66M,n/a,Consumer Services,Home Furnishings,NASDAQ
APDN,Applied DNA Sciences Inc,1.175,$30.96M,n/a,Consumer Services,Other Consumer Services,NASDAQ
APDNW,Applied DNA Sciences Inc,0.24,n/a,n/a,Consumer Services,Other Consumer Services,NASDAQ
AGTC,Applied Genetic Technologies Corporation,4.8,$86.8M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AMAT,"Applied Materials, Inc.",46.72,$50.21B,1972,Technology,Semiconductors,NASDAQ
AAOI,"Applied Optoelectronics, Inc.",72.44,$1.38B,2013,Technology,Semiconductors,NASDAQ
AREX,Approach Resources Inc.,2.6,$224.34M,2007,Energy,Oil & Gas Production,NASDAQ
APTI,"Apptio, Inc.",17,$657.12M,2016,Technology,Computer Software: Prepackaged Software,NASDAQ
APRI,"Apricus Biosciences, Inc.",0.9166,$11.71M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
APVO,Aptevo Therapeutics Inc.,1.99,$42.19M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
APTO,"Aptose Biosciences, Inc.",1.03,$19.51M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AQMS,"Aqua Metals, Inc.",12.12,$244.12M,2015,Basic Industries,Metal Fabrications,NASDAQ
AQB,"AquaBounty Technologies, Inc.",8.43,$74.99M,n/a,n/a,n/a,NASDAQ
AQXP,"Aquinox Pharmaceuticals, Inc.",13.17,$308.48M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ARDM,Aradigm Corporation,1.48,$22.19M,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
ARLZ,Aralez Pharmaceuticals Inc.,1.29,$84.73M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
PETX,"Aratana Therapeutics, Inc.",6.045,$259.68M,2013,Health Care,Major Pharmaceuticals,NASDAQ
ABUS,Arbutus Biopharma Corporation,3.375,$185.71M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ARCW,"ARC Group Worldwide, Inc.",3.85,$69.96M,n/a,Capital Goods,Metal Fabrications,NASDAQ
ABIO,"ARCA biopharma, Inc.",2.39,$22.09M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
RKDA,"Arcadia Biosciences, Inc.",0.7,$29.87M,2015,Basic Industries,Agricultural Chemicals,NASDAQ
ARCB,ArcBest Corporation,19.55,$505.09M,n/a,Transportation,Trucking Freight/Courier Services,NASDAQ
ACGL,Arch Capital Group Ltd.,98.33,$12.1B,n/a,Finance,Property-Casualty Insurers,NASDAQ
ACGLP,Arch Capital Group Ltd.,24.1,n/a,n/a,Finance,Property-Casualty Insurers,NASDAQ
APLP,"Archrock Partners, L.P.",15.92,$1.04B,n/a,Public Utilities,Natural Gas Distribution,NASDAQ
ARDX,"Ardelyx, Inc.",4.625,$219.16M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ARNA,"Arena Pharmaceuticals, Inc.",1.39,$441.24M,2000,Health Care,Major Pharmaceuticals,NASDAQ
ARCC,Ares Capital Corporation,16.785,$7.16B,2004,n/a,n/a,NASDAQ
ARGX,argenx SE,21.335,$427.58M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AGII,"Argo Group International Holdings, Ltd.",61.6,$1.86B,n/a,Finance,Specialty Insurers,NASDAQ
AGIIL,"Argo Group International Holdings, Ltd.",25.41,n/a,n/a,Finance,Specialty Insurers,NASDAQ
ARGS,"Argos Therapeutics, Inc.",0.416,$17.2M,2014,Health Care,Major Pharmaceuticals,NASDAQ
ARIS,"ARI Network Services, Inc.",5.4745,$95.96M,1991,Technology,"Computer Software: Programming, Data Processing",NASDAQ
ARKR,Ark Restaurants Corp.,25.5339,$87.47M,n/a,Consumer Services,Restaurants,NASDAQ
ARTX,Arotech Corporation,3.39,$89.59M,1994,Miscellaneous,Industrial Machinery/Components,NASDAQ
ARQL,"ArQule, Inc.",1.18,$83.95M,1996,Health Care,Major Pharmaceuticals,NASDAQ
ARRY,Array BioPharma Inc.,8,$1.37B,2000,Health Care,Major Pharmaceuticals,NASDAQ
ARRS,ARRIS International plc,28.79,$5.41B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
DWAT,Arrow DWA Tactical ETF,10.95,$8.76M,n/a,n/a,n/a,NASDAQ
AROW,Arrow Financial Corporation,32.2,$434.85M,n/a,Finance,Major Banks,NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc.",1.56,$116.64M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ARTNA,Artesian Resources Corporation,37.46,$342.6M,n/a,Public Utilities,Water Supply,NASDAQ
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",3.016,$12.54M,n/a,Capital Goods,Industrial Machinery/Components,NASDAQ
ASBB,"ASB Bancorp, Inc.",40.45,$153.23M,2011,Finance,Savings Institutions,NASDAQ
ASNA,"Ascena Retail Group, Inc.",1.86,$362.59M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
ASND,Ascendis Pharma A/S,24.16,$785.26M,2015,Health Care,Major Pharmaceuticals,NASDAQ
ASCMA,"Ascent Capital Group, Inc.",13.9,$171.72M,n/a,Consumer Services,Other Consumer Services,NASDAQ
APWC,Asia Pacific Wire & Cable Corporation Limited,3,$41.46M,n/a,Basic Industries,Telecommunications Equipment,NASDAQ
ASML,ASML Holding N.V.,133.18,$57.26B,1995,Technology,Industrial Machinery/Components,NASDAQ
AZPN,"Aspen Technology, Inc.",62.7,$4.67B,1994,Technology,EDP Services,NASDAQ
ASMB,"Assembly Biosciences, Inc.",25.37,$440.07M,n/a,Health Care,Major Pharmaceuticals,NASDAQ
ASFI,"Asta Funding, Inc.",6.75,$44.29M,1995,Finance,Finance Companies,NASDAQ
ASTE,"Astec Industries, Inc.",56.2,$1.3B,1986,Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ
ATRO,Astronics Corporation,30.63,$888.2M,n/a,Capital Goods,Military/Government/Technical,NASDAQ
ALOT,"AstroNova, Inc.",14.15,$106.48M,1983,Technology,Computer peripheral equipment,NASDAQ
ASTC,Astrotech Corporation,1.11,$22.83M,n/a,Capital Goods,Military/Government/Technical,NASDAQ
ASUR,Asure Software Inc,16.16,$199.44M,n/a,Technology,EDP Services,NASDAQ
ASV,"ASV Holdings, Inc.",8.14,$79.77M,2017,Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ
ATAI,ATA Inc.,3.79,$86.89M,2008,Consumer Services,Other Consumer Services,NASDAQ
